Date,price,daily_difference,signal,positions
2019-05-01,26430.14,,0.0,
2019-05-02,26307.79,-122.34999999999854,0.0,0.0
2019-05-03,26504.95,197.15999999999985,1.0,1.0
2019-05-06,26438.48,-66.47000000000116,0.0,-1.0
2019-05-07,25965.09,-473.3899999999994,0.0,0.0
2019-05-08,25967.33,2.2400000000016007,1.0,1.0
2019-05-09,25828.36,-138.97000000000116,0.0,-1.0
2019-05-10,25942.37,114.0099999999984,1.0,1.0
2019-05-13,25324.99,-617.3799999999974,0.0,-1.0
2019-05-14,25532.05,207.05999999999767,1.0,1.0
2019-05-15,25648.02,115.97000000000116,1.0,0.0
2019-05-16,25862.68,214.65999999999985,1.0,0.0
2019-05-17,25764.0,-98.68000000000029,0.0,-1.0
2019-05-20,25679.9,-84.09999999999854,0.0,0.0
2019-05-21,25877.33,197.4300000000003,1.0,1.0
2019-05-22,25776.61,-100.72000000000116,0.0,-1.0
2019-05-23,25490.47,-286.1399999999994,0.0,0.0
2019-05-24,25585.69,95.21999999999753,1.0,1.0
2019-05-28,25347.77,-237.91999999999825,0.0,-1.0
2019-05-29,25126.41,-221.36000000000058,0.0,0.0
2019-05-30,25169.88,43.470000000001164,1.0,1.0
2019-05-31,24815.04,-354.84000000000015,0.0,-1.0
2019-06-03,24819.78,4.739999999997963,1.0,1.0
2019-06-04,25332.18,512.4000000000015,1.0,0.0
2019-06-05,25539.57,207.38999999999942,1.0,0.0
2019-06-06,25720.66,181.09000000000015,1.0,0.0
2019-06-07,25983.94,263.27999999999884,1.0,0.0
2019-06-10,26062.68,78.7400000000016,1.0,0.0
2019-06-11,26048.51,-14.170000000001892,0.0,-1.0
2019-06-12,26004.83,-43.67999999999665,0.0,0.0
2019-06-13,26106.77,101.93999999999869,1.0,1.0
2019-06-14,26089.61,-17.159999999999854,0.0,-1.0
2019-06-17,26112.53,22.919999999998254,1.0,1.0
2019-06-18,26465.54,353.01000000000204,1.0,0.0
2019-06-19,26504.0,38.45999999999913,1.0,0.0
2019-06-20,26753.17,249.16999999999825,1.0,0.0
2019-06-21,26719.13,-34.039999999997235,0.0,-1.0
2019-06-24,26727.54,8.409999999999854,1.0,1.0
2019-06-25,26548.22,-179.3199999999997,0.0,-1.0
2019-06-26,26536.82,-11.400000000001455,0.0,0.0
2019-06-27,26526.58,-10.239999999997963,0.0,0.0
2019-06-28,26599.96,73.37999999999738,1.0,1.0
2019-07-01,26717.43,117.47000000000116,1.0,0.0
2019-07-02,26786.68,69.25,1.0,0.0
2019-07-03,26966.0,179.3199999999997,1.0,0.0
2019-07-05,26922.12,-43.88000000000102,0.0,-1.0
2019-07-08,26806.14,-115.97999999999956,0.0,0.0
2019-07-09,26783.49,-22.649999999997817,0.0,0.0
2019-07-10,26860.2,76.70999999999913,1.0,1.0
2019-07-11,27088.08,227.88000000000102,1.0,0.0
2019-07-12,27332.03,243.9499999999971,1.0,0.0
2019-07-15,27359.16,27.13000000000102,1.0,0.0
2019-07-16,27335.63,-23.529999999998836,0.0,-1.0
2019-07-17,27219.85,-115.78000000000247,0.0,0.0
2019-07-18,27222.97,3.1200000000026193,1.0,1.0
2019-07-19,27154.2,-68.77000000000044,0.0,-1.0
2019-07-22,27171.9,17.700000000000728,1.0,1.0
2019-07-23,27349.19,177.28999999999724,1.0,0.0
2019-07-24,27269.97,-79.21999999999753,0.0,-1.0
2019-07-25,27140.98,-128.9900000000016,0.0,0.0
2019-07-26,27192.45,51.470000000001164,1.0,1.0
2019-07-29,27221.35,28.899999999997817,1.0,0.0
2019-07-30,27198.02,-23.32999999999811,0.0,-1.0
2019-07-31,26864.27,-333.75,0.0,0.0
2019-08-01,26583.42,-280.8500000000022,0.0,0.0
2019-08-02,26485.01,-98.40999999999985,0.0,0.0
2019-08-05,25717.74,-767.2699999999968,0.0,0.0
2019-08-06,26029.52,311.77999999999884,1.0,1.0
2019-08-07,26007.07,-22.450000000000728,0.0,-1.0
2019-08-08,26378.19,371.119999999999,1.0,1.0
2019-08-09,26287.44,-90.75,0.0,-1.0
2019-08-12,25907.37,-380.0699999999997,0.0,0.0
2019-08-13,26279.91,372.5400000000009,1.0,1.0
2019-08-14,25479.42,-800.4900000000016,0.0,-1.0
2019-08-15,25579.39,99.97000000000116,1.0,1.0
2019-08-16,25886.01,306.619999999999,1.0,0.0
2019-08-19,26135.79,249.78000000000247,1.0,0.0
2019-08-20,25962.44,-173.35000000000218,0.0,-1.0
