Date,Open,High,Low,Close,Volume
2019-05-01,26639.06,26689.39,26426.38,26430.14,303824427.0
2019-05-02,26407.15,26454.69,26180.36,26307.79,287700790.0
2019-05-03,26379.14,26534.96,26370.09,26504.95,248938257.0
2019-05-06,26160.62,26476.27,26033.95,26438.48,283101899.0
2019-05-07,26276.9,26276.9,25789.71,25965.09,334991424.0
2019-05-08,25933.79,26118.1,25889.41,25967.33,276364035.0
2019-05-09,25878.85,25884.89,25517.39,25828.36,334708294.0
2019-05-10,25763.72,26019.32,25469.86,25942.37,294584116.0
2019-05-13,25568.06,25568.06,25222.51,25324.99,361279460.0
2019-05-14,25384.03,25688.96,25384.03,25532.05,291491529.0
2019-05-15,25400.13,25724.89,25341.94,25648.02,270691489.0
2019-05-16,25692.14,25957.63,25692.14,25862.68,320983871.0
2019-05-17,25719.95,25948.74,25657.78,25764.0,283835610.0
2019-05-20,25655.31,25751.71,25560.55,25679.9,279547099.0
2019-05-21,25782.34,25898.27,25779.61,25877.33,260784838.0
2019-05-22,25818.46,25878.21,25755.11,25776.61,241789564.0
2019-05-23,25657.99,25657.99,25328.09,25490.47,316963725.0
2019-05-24,25551.07,25670.81,25496.2,25585.69,201285856.0
2019-05-28,25616.55,25717.63,25342.28,25347.77,358880381.0
2019-05-29,25231.46,25231.46,24938.24,25126.41,298921056.0
2019-05-30,25139.94,25218.54,25066.75,25169.88,215295529.0
2019-05-31,25046.31,25046.31,24809.51,24815.04,292215814.0
2019-06-03,24830.16,24935.21,24680.57,24819.78,328174315.0
2019-06-04,24962.82,25343.77,24962.82,25332.18,281765509.0
2019-06-05,25451.0,25544.66,25373.58,25539.57,262679598.0
2019-06-06,25567.45,25800.3,25518.05,25720.66,248104564.0
2019-06-07,25768.72,26072.75,25768.72,25983.94,263008829.0
2019-06-10,26090.22,26210.61,26054.31,26062.68,249327353.0
2019-06-11,26180.59,26248.67,25998.87,26048.51,253559800.0
2019-06-12,26040.3,26082.1,25958.66,26004.83,223657251.0
2019-06-13,26036.94,26146.91,25995.71,26106.77,213360239.0
2019-06-14,26076.36,26162.28,25988.09,26089.61,207951926.0
2019-06-17,26108.53,26165.78,26049.8,26112.53,199457524.0
2019-06-18,26228.88,26527.19,26227.76,26465.54,273548401.0
2019-06-19,26490.16,26569.75,26415.05,26504.0,240869715.0
2019-06-20,26665.38,26798.63,26539.69,26753.17,278153101.0
2019-06-21,26749.12,26907.37,26705.87,26719.13,485509319.0
2019-06-24,26727.61,26806.52,26723.37,26727.54,232445636.0
2019-06-25,26731.61,26752.31,26527.66,26548.22,282144061.0
2019-06-26,26599.42,26660.04,26536.33,26536.82,274318013.0
2019-06-27,26523.72,26607.24,26465.32,26526.58,246983596.0
2019-06-28,26605.93,26638.35,26522.27,26599.96,499383499.0
2019-07-01,26805.86,26890.64,26616.21,26717.43,267660563.0
2019-07-02,26719.53,26787.56,26632.65,26786.68,219174600.0
2019-07-03,26832.32,26966.0,26831.44,26966.0,149781157.0
2019-07-05,26867.75,26950.81,26733.33,26922.12,192253088.0
2019-07-08,26835.64,26839.14,26744.87,26806.14,214267193.0
2019-07-09,26725.12,26807.7,26665.57,26783.49,218259432.0
2019-07-10,26851.96,26983.45,26813.11,26860.2,208028600.0
2019-07-11,26950.16,27088.45,26916.32,27088.08,252260700.0
2019-07-12,27139.49,27333.79,27135.45,27332.03,248386078.0
2019-07-15,27364.69,27364.69,27294.17,27359.16,199770700.0
2019-07-16,27349.32,27398.68,27290.24,27335.63,225981325.0
2019-07-17,27320.91,27343.06,27218.38,27219.85,193854408.0
2019-07-18,27191.98,27266.81,27068.79,27222.97,216056391.0
2019-07-19,27246.38,27342.96,27145.78,27154.2,287784684.0
2019-07-22,27174.18,27227.77,27088.9,27171.9,216284393.0
2019-07-23,27231.86,27368.81,27204.58,27349.19,248873218.0
2019-07-24,27262.24,27291.04,27191.12,27269.97,244270915.0
2019-07-25,27247.39,27298.43,27062.48,27140.98,241480231.0
2019-07-26,27166.0,27213.7,27123.25,27192.45,233644438.0
